name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,bias_initializer,beta_regularizer,activity_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,beta_initializer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
input_2,InputLayer,"(None, 224, 224, 3)","(None, 224, 224, 3)",,0,,,,,,,,float32,,,,,,,,,,,,,,,,,,,,,,,,False,
conv1_pad,ZeroPadding2D,"(None, 224, 224, 3)","(None, 230, 230, 3)",input_2,0,,,,"((3, 3), (3, 3))",,,,,True,,,,,,,,,,,,,,,,,,,,channels_last,,,,
conv1,Conv2D,"(None, 230, 230, 3)","(None, 112, 112, 64)",conv1_pad,9472,64,"(7, 7)",linear,valid,"(2, 2)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn_conv1,BatchNormalization,"(None, 112, 112, 64)","(None, 112, 112, 64)",conv1,256,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_1,Activation,"(None, 112, 112, 64)","(None, 112, 112, 64)",bn_conv1,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
max_pooling2d_1,MaxPooling2D,"(None, 112, 112, 64)","(None, 55, 55, 64)",activation_1,0,,,,valid,"(2, 2)","(3, 3)",,,True,,,,,,,,,,,,,,,,,,,,channels_last,,,,
res2a_branch2a,Conv2D,"(None, 55, 55, 64)","(None, 55, 55, 64)",max_pooling2d_1,4160,64,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn2a_branch2a,BatchNormalization,"(None, 55, 55, 64)","(None, 55, 55, 64)",res2a_branch2a,256,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_2,Activation,"(None, 55, 55, 64)","(None, 55, 55, 64)",bn2a_branch2a,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2a_branch2b,Conv2D,"(None, 55, 55, 64)","(None, 55, 55, 64)",activation_2,36928,64,"(3, 3)",linear,same,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn2a_branch2b,BatchNormalization,"(None, 55, 55, 64)","(None, 55, 55, 64)",res2a_branch2b,256,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_3,Activation,"(None, 55, 55, 64)","(None, 55, 55, 64)",bn2a_branch2b,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2a_branch2c,Conv2D,"(None, 55, 55, 64)","(None, 55, 55, 256)",activation_3,16640,256,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
res2a_branch1,Conv2D,"(None, 55, 55, 64)","(None, 55, 55, 256)",max_pooling2d_1,16640,256,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn2a_branch2c,BatchNormalization,"(None, 55, 55, 256)","(None, 55, 55, 256)",res2a_branch2c,1024,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
bn2a_branch1,BatchNormalization,"(None, 55, 55, 256)","(None, 55, 55, 256)",res2a_branch1,1024,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
add_1,Add,"[(None, 55, 55, 256), (None, 55, 55, 256)]","(None, 55, 55, 256)",bn2a_branch2c/bn2a_branch1,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
activation_4,Activation,"(None, 55, 55, 256)","(None, 55, 55, 256)",add_1,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2b_branch2a,Conv2D,"(None, 55, 55, 256)","(None, 55, 55, 64)",activation_4,16448,64,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn2b_branch2a,BatchNormalization,"(None, 55, 55, 64)","(None, 55, 55, 64)",res2b_branch2a,256,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_5,Activation,"(None, 55, 55, 64)","(None, 55, 55, 64)",bn2b_branch2a,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2b_branch2b,Conv2D,"(None, 55, 55, 64)","(None, 55, 55, 64)",activation_5,36928,64,"(3, 3)",linear,same,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn2b_branch2b,BatchNormalization,"(None, 55, 55, 64)","(None, 55, 55, 64)",res2b_branch2b,256,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_6,Activation,"(None, 55, 55, 64)","(None, 55, 55, 64)",bn2b_branch2b,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2b_branch2c,Conv2D,"(None, 55, 55, 64)","(None, 55, 55, 256)",activation_6,16640,256,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn2b_branch2c,BatchNormalization,"(None, 55, 55, 256)","(None, 55, 55, 256)",res2b_branch2c,1024,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
add_2,Add,"[(None, 55, 55, 256), (None, 55, 55, 256)]","(None, 55, 55, 256)",bn2b_branch2c/activation_4,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
activation_7,Activation,"(None, 55, 55, 256)","(None, 55, 55, 256)",add_2,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2c_branch2a,Conv2D,"(None, 55, 55, 256)","(None, 55, 55, 64)",activation_7,16448,64,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn2c_branch2a,BatchNormalization,"(None, 55, 55, 64)","(None, 55, 55, 64)",res2c_branch2a,256,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_8,Activation,"(None, 55, 55, 64)","(None, 55, 55, 64)",bn2c_branch2a,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2c_branch2b,Conv2D,"(None, 55, 55, 64)","(None, 55, 55, 64)",activation_8,36928,64,"(3, 3)",linear,same,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn2c_branch2b,BatchNormalization,"(None, 55, 55, 64)","(None, 55, 55, 64)",res2c_branch2b,256,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
