name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,rate,seed,noise_shape,use_bias,bias_regularizer,bias_initializer,kernel_initializer,kernel_constraint,activity_regularizer,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse
input_1,InputLayer,"(None, 3, 64, 64)","(None, 3, 64, 64)",,0,,,,,,,,float32,,,,,,,,,,,,,,,False
block1_conv1,Conv2D,"(None, 3, 64, 64)","(None, 64, 64, 64)",input_1,1792,64,"(3, 3)",relu,same,"(1, 1)",,,,True,,,,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_first,"(1, 1)","{'class_name': 'L1L2', 'config': {'l2': 0.009999999776482582, 'l1': 0.0}}",
block1_conv2,Conv2D,"(None, 64, 64, 64)","(None, 64, 64, 64)",block1_conv1,36928,64,"(3, 3)",relu,same,"(1, 1)",,,,True,,,,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_first,"(1, 1)","{'class_name': 'L1L2', 'config': {'l2': 0.009999999776482582, 'l1': 0.0}}",
block1_pool,MaxPooling2D,"(None, 64, 64, 64)","(None, 64, 32, 32)",block1_conv2,0,,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,,,,channels_first,,,
block2_conv1,Conv2D,"(None, 64, 32, 32)","(None, 128, 32, 32)",block1_pool,73856,128,"(3, 3)",relu,same,"(1, 1)",,,,True,,,,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_first,"(1, 1)","{'class_name': 'L1L2', 'config': {'l2': 0.009999999776482582, 'l1': 0.0}}",
block2_conv2,Conv2D,"(None, 128, 32, 32)","(None, 128, 32, 32)",block2_conv1,147584,128,"(3, 3)",relu,same,"(1, 1)",,,,True,,,,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_first,"(1, 1)","{'class_name': 'L1L2', 'config': {'l2': 0.009999999776482582, 'l1': 0.0}}",
block2_pool,MaxPooling2D,"(None, 128, 32, 32)","(None, 128, 16, 16)",block2_conv2,0,,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,,,,channels_first,,,
block3_conv1,Conv2D,"(None, 128, 16, 16)","(None, 256, 16, 16)",block2_pool,295168,256,"(3, 3)",relu,same,"(1, 1)",,,,True,,,,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_first,"(1, 1)","{'class_name': 'L1L2', 'config': {'l2': 0.009999999776482582, 'l1': 0.0}}",
block3_conv2,Conv2D,"(None, 256, 16, 16)","(None, 256, 16, 16)",block3_conv1,590080,256,"(3, 3)",relu,same,"(1, 1)",,,,True,,,,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_first,"(1, 1)","{'class_name': 'L1L2', 'config': {'l2': 0.009999999776482582, 'l1': 0.0}}",
block3_conv3,Conv2D,"(None, 256, 16, 16)","(None, 256, 16, 16)",block3_conv2,590080,256,"(3, 3)",relu,same,"(1, 1)",,,,True,,,,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_first,"(1, 1)","{'class_name': 'L1L2', 'config': {'l2': 0.009999999776482582, 'l1': 0.0}}",
block3_conv4,Conv2D,"(None, 256, 16, 16)","(None, 256, 16, 16)",block3_conv3,590080,256,"(3, 3)",relu,same,"(1, 1)",,,,True,,,,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_first,"(1, 1)","{'class_name': 'L1L2', 'config': {'l2': 0.009999999776482582, 'l1': 0.0}}",
